trade_num,entry_time,exit_time,entry_date,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,mfe_pts,mae_pts,conf,rsi,rsi_os,rsi_ob,adx,adx_opt,macd,drsi,cloud,vwap,research_bucket
,2026-05-13T14:01:00,2026-05-13T14:10:00,2026-05-13,Long,CR3_WL|c5|r38.7|a25|m11.34|d-1.24|BA,WL_Exit,29456,29496,,40,true,TP_40,39.69,2.31,5,38.7,false,false,25,true,11.34,-1.24,BULL,above,W_L_3+
,2026-05-13T14:20:00,2026-05-13T14:38:00,2026-05-13,Short,CR3_WU|c3|r77.9|a25|m11.34|d1.49|BbO,WS_Exit,29554,29514,,40,true,TP_40,39.69,10.56,3,77.9,false,true,25,true,11.34,1.49,BULL,below,W_U_OB
,2026-05-13T14:39:00,2026-05-13T14:47:00,2026-05-13,Long,CR3_WL|c5|r46.6|a24.8|m17.61|d-1.61|BA,WL_Exit,29527,29506.75,,-20.25,false,SL_20,8.19,20.56,5,46.6,false,false,24.8,true,17.61,-1.61,BULL,above,W_L_3+
,2026-05-13T14:51:00,2026-05-13T14:58:00,2026-05-13,Long,CR3_WL|c5|r37|a24.8|m17.61|d-0.7|BA,WL_Exit,29503.75,29483.5,,-20.25,false,SL_20,8.19,20.56,5,37,false,false,24.8,true,17.61,-0.7,BULL,above,W_L_3+
,2026-05-13T15:06:00,2026-05-13T15:14:00,2026-05-13,Long,CR3_WL|c5|r38.6|a24.7|m15.3|d-0.1|BA,WL_Exit,29486,29526,,40,true,TP_40,39.69,1.06,5,38.6,false,false,24.7,true,15.3,-0.1,BULL,above,W_L_3+
,2026-05-13T15:40:00,2026-05-13T15:50:00,2026-05-13,Short,CR3_WU|c2|r60|a24.6|m16.13|d0.1|Bb,WS_Exit,29532.25,29492.25,,40,true,TP_40,39.69,7.81,2,60,false,false,24.6,true,16.13,0.1,BULL,below,W_U_2
,2026-05-13T15:53:00,2026-05-13T16:04:00,2026-05-13,Long,CR3_WL|c6|r27.9|a24.6|m16.13|d-1.98|BAO,WL_Exit,29472.5,29452.25,,-20.25,false,SL_20,15.94,23.31,6,27.9,true,false,24.6,true,16.13,-1.98,BULL,above,W_L_OS
,2026-05-13T16:11:00,2026-05-13T16:31:00,2026-05-13,Short,CR3_WU|c2|r59.9|a24.1|m12.18|d1.48|Bb,WS_Exit,29508.75,29529,,-20.25,false,SL_20,3.19,20.56,2,59.9,false,false,24.1,true,12.18,1.48,BULL,below,W_U_2
,2026-05-13T16:36:00,2026-05-13T18:05:00,2026-05-13,Short,CR3_WU|c2|r68.6|a23.5|m11.38|d0.85|Bb,WS_Exit,29539,29559.25,,-20.25,false,SL_20,10.69,20.56,2,68.6,false,false,23.5,true,11.38,0.85,BULL,below,W_U_2
,2026-05-14T10:38:00,2026-05-14T10:39:00,2026-05-14,Short,CR3_WU|c1|r65.9|a15.7|m-3.03|d0.74|Nb,ADX_Block,29668.5,29677.75,,-9.25,false,ADX_Block,0,11.06,1,65.9,false,false,15.7,false,-3.03,0.74,NEU,below,W_U_1
,2026-05-14T10:59:00,2026-05-14T11:00:00,2026-05-14,Long,CR3_WL|c2|r47|a16.8|m5.4|d-1.09|NA,ADX_Block,29674.75,29675,,0.25,false,ADX_Block,8.94,10.06,2,47,false,false,16.8,false,5.4,-1.09,NEU,above,W_L_2
,2026-05-14T11:38:00,2026-05-14T12:05:00,2026-05-14,Long,CR3_WL|c3|r45.2|a18.2|m15.56|d-1.32|NA,WL_Exit,29734.75,29774.75,,40,true,TP_40,39.69,7.31,3,45.2,false,false,18.2,true,15.56,-1.32,NEU,above,W_L_3+
,2026-05-14T12:06:00,2026-05-14T12:29:00,2026-05-14,Short,CR3_WU|c2|r55.5|a19.5|m20.99|d0.23|Bb,WS_Exit,29764.75,29724.75,,40,true,TP_40,39.69,19.31,2,55.5,false,false,19.5,true,20.99,0.23,BULL,below,W_U_2
,2026-05-14T12:45:00,2026-05-14T12:56:00,2026-05-14,Long,CR3_WL|c6|r40.8|a20.9|m21.34|d0.74|BA,WL_Exit,29715.25,29695,,-20.25,false,SL_20,23.69,20.56,6,40.8,false,false,20.9,true,21.34,0.74,BULL,above,W_L_3+
,2026-05-14T12:56:00,2026-05-14T13:08:00,2026-05-14,Long,CR3_WL|c6|r43.9|a20.9|m21.34|d0.06|BA,WL_Exit,29716.5,29696.25,,-20.25,false,SL_20,38.69,20.56,6,43.9,false,false,20.9,true,21.34,0.06,BULL,above,W_L_3+
,2026-05-14T13:17:00,2026-05-14T13:19:00,2026-05-14,Long,CR3_WL|c6|r24.8|a21.6|m20.3|d-1.71|BAO,WL_Exit,29632.5,29612.25,,-20.25,false,SL_20,1.19,21.56,6,24.8,true,false,21.6,true,20.3,-1.71,BULL,above,W_L_OS
,2026-05-14T13:33:00,2026-05-14T13:35:00,2026-05-14,Short,CR3_WU|c2|r47.1|a20.5|m13.26|d1.09|Bb,WS_Exit,29650.75,29671,,-20.25,false,SL_20,4.44,20.56,2,47.1,false,false,20.5,true,13.26,1.09,BULL,below,W_U_2
